Node,superkingdom,kingdom,phylum
1010633, Eukaryota , Viridiplantae , Streptophyta 
261450, Eukaryota , Viridiplantae , Streptophyta 
1413687, Eukaryota , Viridiplantae , Streptophyta 
1010633, Eukaryota , Viridiplantae , Streptophyta 
1010633, Eukaryota , Viridiplantae , Streptophyta 
7107, Eukaryota , Metazoa , Arthropoda 
1413687, Eukaryota , Viridiplantae , Streptophyta 
51239, Eukaryota , Viridiplantae , Streptophyta 
51239, Eukaryota , Viridiplantae , Streptophyta 
51239, Eukaryota , Viridiplantae , Streptophyta 
51695, Eukaryota , Viridiplantae , Chlorophyta 
1413687, Eukaryota , Viridiplantae , Streptophyta 
51239, Eukaryota , Viridiplantae , Streptophyta 
51239, Eukaryota , Viridiplantae , Streptophyta 
51239, Eukaryota , Viridiplantae , Streptophyta 
51695, Eukaryota , Viridiplantae , Chlorophyta 
47281, Eukaryota , Viridiplantae , Chlorophyta 
47281, Eukaryota , Viridiplantae , Chlorophyta 
47281, Eukaryota , Viridiplantae , Chlorophyta 
303371, Eukaryota , Other, Other
303371, Eukaryota , Other, Other
2026947, Eukaryota , Viridiplantae , Chlorophyta 
2026947, Eukaryota , Viridiplantae , Chlorophyta 
47281, Eukaryota , Viridiplantae , Chlorophyta 
47281, Eukaryota , Viridiplantae , Chlorophyta 
303371, Eukaryota , Other, Other
4460, Eukaryota , Viridiplantae , Streptophyta 
4460, Eukaryota , Viridiplantae , Streptophyta 
29158, Eukaryota , Metazoa , Mollusca 
29158, Eukaryota , Metazoa , Mollusca 
29158, Eukaryota , Metazoa , Mollusca 
29158, Eukaryota , Metazoa , Mollusca 
29158, Eukaryota , Metazoa , Mollusca 
29158, Eukaryota , Metazoa , Mollusca 
143950, Eukaryota , Metazoa , Arthropoda 
143950, Eukaryota , Metazoa , Arthropoda 
3816, Eukaryota , Viridiplantae , Streptophyta 
214687, Eukaryota , Viridiplantae , Streptophyta 
7175, Eukaryota , Metazoa , Arthropoda 
428564, Eukaryota , Metazoa , Arthropoda 
428564, Eukaryota , Metazoa , Arthropoda 
428564, Eukaryota , Metazoa , Arthropoda 
428564, Eukaryota , Metazoa , Arthropoda 
3711, Eukaryota , Viridiplantae , Streptophyta 
27845, Eukaryota , Metazoa , Platyhelminthes 
27845, Eukaryota , Metazoa , Platyhelminthes 
456999, Eukaryota , Fungi , Basidiomycota 
456999, Eukaryota , Fungi , Basidiomycota 
340414, Eukaryota , Fungi , Ascomycota 
1287682, Eukaryota , Fungi , Ascomycota 
2748771, Eukaryota , Fungi , Basidiomycota 
2748771, Eukaryota , Fungi , Basidiomycota 
112509, Eukaryota , Viridiplantae , Streptophyta 
112509, Eukaryota , Viridiplantae , Streptophyta 
1410381, Eukaryota , Other, Other
39272, Eukaryota , Metazoa , Arthropoda 
39272, Eukaryota , Metazoa , Arthropoda 
51714, Eukaryota , Viridiplantae , Chlorophyta 
51714, Eukaryota , Viridiplantae , Chlorophyta 
1737510, Eukaryota , Viridiplantae , Chlorophyta 
1737510, Eukaryota , Viridiplantae , Chlorophyta 
133409, Eukaryota , Other, Evosea 
60419, Eukaryota , Viridiplantae , Streptophyta 
94328, Eukaryota , Viridiplantae , Streptophyta 
2053667, Eukaryota , Metazoa , Arthropoda 
103762, Eukaryota , Viridiplantae , Streptophyta 
2081491, Eukaryota , Other, Haptophyta 
2081491, Eukaryota , Other, Haptophyta 
2081491, Eukaryota , Other, Haptophyta 
47600, Eukaryota , Viridiplantae , Streptophyta 
201153, Eukaryota , Other, Fornicata 
201153, Eukaryota , Other, Fornicata 
5974, Eukaryota , Other, Ciliophora 
5974, Eukaryota , Other, Ciliophora 
2315456, Eukaryota , Viridiplantae , Chlorophyta 
123851, Eukaryota , Metazoa , Arthropoda 
2594499, Eukaryota , Viridiplantae , Streptophyta 
2594499, Eukaryota , Viridiplantae , Streptophyta 
13894, Eukaryota , Viridiplantae , Streptophyta 
7029, Eukaryota , Metazoa , Arthropoda 
4572, Eukaryota , Viridiplantae , Streptophyta 
158383, Eukaryota , Viridiplantae , Streptophyta 
158383, Eukaryota , Viridiplantae , Streptophyta 
65129, Eukaryota , Other, Ciliophora 
65129, Eukaryota , Other, Ciliophora 
5886, Eukaryota , Other, Ciliophora 
5886, Eukaryota , Other, Ciliophora 
65129, Eukaryota , Other, Ciliophora 
65129, Eukaryota , Other, Ciliophora 
43137, Eukaryota , Other, Ciliophora 
43137, Eukaryota , Other, Ciliophora 
43138, Eukaryota , Other, Ciliophora 
43137, Eukaryota , Other, Ciliophora 
43138, Eukaryota , Other, Ciliophora 
43137, Eukaryota , Other, Ciliophora 
43138, Eukaryota , Other, Ciliophora 
38785, Eukaryota , Viridiplantae , Streptophyta 
1234261, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
6550, Eukaryota , Metazoa , Mollusca 
6550, Eukaryota , Metazoa , Mollusca 
6550, Eukaryota , Metazoa , Mollusca 
110799, Eukaryota , Metazoa , Arthropoda 
765719, Eukaryota , Viridiplantae , Chlorophyta 
69181, Eukaryota , Viridiplantae , Streptophyta 
69181, Eukaryota , Viridiplantae , Streptophyta 
3914, Eukaryota , Viridiplantae , Streptophyta 
38727, Eukaryota , Viridiplantae , Streptophyta 
38727, Eukaryota , Viridiplantae , Streptophyta 
38727, Eukaryota , Viridiplantae , Streptophyta 
38727, Eukaryota , Viridiplantae , Streptophyta 
89804, Eukaryota , Metazoa , Arthropoda 
29159, Eukaryota , Metazoa , Mollusca 
2740835, Eukaryota , Metazoa , Arthropoda 
2740835, Eukaryota , Metazoa , Arthropoda 
2740835, Eukaryota , Metazoa , Arthropoda 
2747483, Eukaryota , Metazoa , Arthropoda 
52824, Eukaryota , Viridiplantae , Streptophyta 
118781, Eukaryota , Viridiplantae , Streptophyta 
118781, Eukaryota , Viridiplantae , Streptophyta 
591445, Eukaryota , Metazoa , Nematoda 
31243, Eukaryota , Metazoa , Nematoda 
227884, Eukaryota , Metazoa , Nematoda 
55785, Eukaryota , Metazoa , Nematoda 
166011, Eukaryota , Metazoa , Nematoda 
166011, Eukaryota , Metazoa , Nematoda 
4558, Eukaryota , Viridiplantae , Streptophyta 
4558, Eukaryota , Viridiplantae , Streptophyta 
68886, Eukaryota , Other, Apicomplexa 
68886, Eukaryota , Other, Apicomplexa 
714518, Eukaryota , Viridiplantae , Streptophyta 
714518, Eukaryota , Viridiplantae , Streptophyta 
47602, Eukaryota , Viridiplantae , Streptophyta 
45954, Eukaryota , Metazoa , Mollusca 
3888, Eukaryota , Viridiplantae , Streptophyta 
3888, Eukaryota , Viridiplantae , Streptophyta 
3888, Eukaryota , Viridiplantae , Streptophyta 
3888, Eukaryota , Viridiplantae , Streptophyta 
195482, Eukaryota , Other, Apicomplexa 
320322, Eukaryota , Viridiplantae , Streptophyta 
320322, Eukaryota , Viridiplantae , Streptophyta 
320322, Eukaryota , Viridiplantae , Streptophyta 
320322, Eukaryota , Viridiplantae , Streptophyta 
320322, Eukaryota , Viridiplantae , Streptophyta 
320322, Eukaryota , Viridiplantae , Streptophyta 
320322, Eukaryota , Viridiplantae , Streptophyta 
154017, Eukaryota , Metazoa , Arthropoda 
303405, Eukaryota , Other, Bacillariophyta 
303405, Eukaryota , Other, Bacillariophyta 
303405, Eukaryota , Other, Bacillariophyta 
303405, Eukaryota , Other, Bacillariophyta 
