Node,superkingdom,kingdom
30522, Eukaryota , Metazoa 
7868, Eukaryota , Metazoa 
7868, Eukaryota , Metazoa 
7868, Eukaryota , Metazoa 
7868, Eukaryota , Metazoa 
7868, Eukaryota , Metazoa 
7868, Eukaryota , Metazoa 
7868, Eukaryota , Metazoa 
7868, Eukaryota , Metazoa 
7868, Eukaryota , Metazoa 
8005, Eukaryota , Metazoa 
8005, Eukaryota , Metazoa 
8005, Eukaryota , Metazoa 
8005, Eukaryota , Metazoa 
8005, Eukaryota , Metazoa 
8005, Eukaryota , Metazoa 
8005, Eukaryota , Metazoa 
8005, Eukaryota , Metazoa 
8005, Eukaryota , Metazoa 
62062, Eukaryota , Metazoa 
62062, Eukaryota , Metazoa 
62062, Eukaryota , Metazoa 
62062, Eukaryota , Metazoa 
62062, Eukaryota , Metazoa 
62062, Eukaryota , Metazoa 
62062, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
8187, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
29139, Eukaryota , Metazoa 
182803, Eukaryota , Metazoa 
6661, Eukaryota , Metazoa 
433685, Eukaryota , Metazoa 
6182, Eukaryota , Metazoa 
6182, Eukaryota , Metazoa 
6182, Eukaryota , Metazoa 
6182, Eukaryota , Metazoa 
6182, Eukaryota , Metazoa 
230148, Eukaryota , Metazoa 
6832, Eukaryota , Metazoa 
623744, Eukaryota , Metazoa 
623744, Eukaryota , Metazoa 
623744, Eukaryota , Metazoa 
175774, Eukaryota , Metazoa 
6216, Eukaryota , Metazoa 
586526, Eukaryota , Viridiplantae 
1572043, Eukaryota , Metazoa 
433684, Eukaryota , Metazoa 
1000413, Eukaryota , Viridiplantae 
34276, Eukaryota , Viridiplantae 
34276, Eukaryota , Viridiplantae 
34277, Eukaryota , Viridiplantae 
34275, Eukaryota , Viridiplantae 
34275, Eukaryota , Viridiplantae 
9995, Eukaryota , Metazoa 
9995, Eukaryota , Metazoa 
9995, Eukaryota , Metazoa 
9995, Eukaryota , Metazoa 
506608, Eukaryota , Metazoa 
2606893, Eukaryota , Fungi 
9796, Eukaryota , Metazoa 
9796, Eukaryota , Metazoa 
13616, Eukaryota , Metazoa 
9986, Eukaryota , Metazoa 
9986, Eukaryota , Metazoa 
9986, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
34504, Eukaryota , Metazoa 
3634, Eukaryota , Viridiplantae 
3634, Eukaryota , Viridiplantae 
38414, Eukaryota , Viridiplantae 
53468, Eukaryota , Metazoa 
6183, Eukaryota , Metazoa 
9888, Eukaryota , Metazoa 
9886, Eukaryota , Metazoa 
7054, Eukaryota , Metazoa 
9838, Eukaryota , Metazoa 
310915, Eukaryota , Metazoa 
2182728, Eukaryota , Viridiplantae 
96803, Eukaryota , Metazoa 
70415, Eukaryota , Metazoa 
5478, Eukaryota , Fungi 
943146, Eukaryota , Metazoa 
64391, Eukaryota , Metazoa 
223781, Eukaryota , Metazoa 
194338, Eukaryota , Metazoa 
173247, Eukaryota , Metazoa 
173247, Eukaryota , Metazoa 
173247, Eukaryota , Metazoa 
173247, Eukaryota , Metazoa 
173247, Eukaryota , Metazoa 
173247, Eukaryota , Metazoa 
61383, Eukaryota , Metazoa 
61383, Eukaryota , Metazoa 
61383, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
586833, Eukaryota , Metazoa 
47969, Eukaryota , Metazoa 
47969, Eukaryota , Metazoa 
47969, Eukaryota , Metazoa 
47969, Eukaryota , Metazoa 
47969, Eukaryota , Metazoa 
47969, Eukaryota , Metazoa 
47969, Eukaryota , Metazoa 
47969, Eukaryota , Metazoa 
47969, Eukaryota , Metazoa 
8128, Eukaryota , Metazoa 
8128, Eukaryota , Metazoa 
8128, Eukaryota , Metazoa 
8128, Eukaryota , Metazoa 
8128, Eukaryota , Metazoa 
8128, Eukaryota , Metazoa 
9054, Eukaryota , Metazoa 
64176, Eukaryota , Metazoa 
8673, Eukaryota , Metazoa 
8673, Eukaryota , Metazoa 
8673, Eukaryota , Metazoa 
8673, Eukaryota , Metazoa 
8673, Eukaryota , Metazoa 
59479, Eukaryota , Metazoa 
59479, Eukaryota , Metazoa 
59479, Eukaryota , Metazoa 
59479, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
