Node,superkingdom,kingdom,phylum
112090, Eukaryota , Other, Oomycota 
188477, Eukaryota , Metazoa , Mollusca 
75743, Eukaryota , Metazoa , Chordata 
137246, Eukaryota , Metazoa , Chordata 
6689, Eukaryota , Metazoa , Arthropoda 
89804, Eukaryota , Metazoa , Arthropoda 
1245748, Eukaryota , Fungi , Ascomycota 
123683, Eukaryota , Metazoa , Chordata 
212818, Eukaryota , Fungi , Ascomycota 
9925, Eukaryota , Metazoa , Chordata 
9925, Eukaryota , Metazoa , Chordata 
38772, Eukaryota , Metazoa , Chordata 
9643, Eukaryota , Metazoa , Chordata 
307972, Eukaryota , Metazoa , Echinodermata 
9823, Eukaryota , Metazoa , Chordata 
195883, Eukaryota , Metazoa , Arthropoda 
7232, Eukaryota , Metazoa , Arthropoda 
8167, Eukaryota , Metazoa , Chordata 
191816, Eukaryota , Metazoa , Chordata 
191816, Eukaryota , Metazoa , Chordata 
191816, Eukaryota , Metazoa , Chordata 
191816, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
3750, Eukaryota , Viridiplantae , Streptophyta 
3750, Eukaryota , Viridiplantae , Streptophyta 
84645, Eukaryota , Metazoa , Chordata 
6277, Eukaryota , Metazoa , Nematoda 
151549, Eukaryota , Metazoa , Arthropoda 
6945, Eukaryota , Metazoa , Arthropoda 
55544, Eukaryota , Metazoa , Chordata 
6192, Eukaryota , Metazoa , Platyhelminthes 
6279, Eukaryota , Metazoa , Nematoda 
300112, Eukaryota , Metazoa , Arthropoda 
147828, Eukaryota , Metazoa , Platyhelminthes 
147828, Eukaryota , Metazoa , Platyhelminthes 
167371, Eukaryota , Fungi , Basidiomycota 
245174, Eukaryota , Fungi , Basidiomycota 
245174, Eukaryota , Fungi , Basidiomycota 
1708541, Eukaryota , Fungi , Basidiomycota 
331657, Eukaryota , Fungi , Ascomycota 
331657, Eukaryota , Fungi , Ascomycota 
40151, Eukaryota , Metazoa , Chordata 
34508, Eukaryota , Metazoa , Nematoda 
240159, Eukaryota , Metazoa , Chordata 
240159, Eukaryota , Metazoa , Chordata 
30522, Eukaryota , Metazoa , Chordata 
30522, Eukaryota , Metazoa , Chordata 
