Node,superkingdom,kingdom,phylum
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
104777, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
104777, Eukaryota , Metazoa , Rotifera 
104777, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
249248, Eukaryota , Metazoa , Rotifera 
104777, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
104777, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
104777, Eukaryota , Metazoa , Rotifera 
249248, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
249248, Eukaryota , Metazoa , Rotifera 
249248, Eukaryota , Metazoa , Rotifera 
1234261, Eukaryota , Metazoa , Rotifera 
249248, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
1234261, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
249248, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
3708, Eukaryota , Viridiplantae , Streptophyta 
3708, Eukaryota , Viridiplantae , Streptophyta 
3708, Eukaryota , Viridiplantae , Streptophyta 
3708, Eukaryota , Viridiplantae , Streptophyta 
3708, Eukaryota , Viridiplantae , Streptophyta 
3708, Eukaryota , Viridiplantae , Streptophyta 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
3708, Eukaryota , Viridiplantae , Streptophyta 
3708, Eukaryota , Viridiplantae , Streptophyta 
