Node,"['Kingdom', 'N', 'C']"
39621,"['E', 'Acrocephalus', 'Great']"
57686,"['E', 'Acrolepiopsis', 'Leek']"
73033,"['E', 'Acrosiphonia', 'Green']"
29594,"['E', 'Acrostichum', 'Golden']"
126873,"['E', 'Acrocephalus', 'Cape']"
219317,"['E', 'Acroneuria', 'Carolina']"
6130,"['E', 'Acropora', 'Staghorn']"
244713,"['E', 'Acrida', 'Chinese']"
451382,"['E', 'Acridotheres', 'Crested']"
214017,"['E', 'Acronicta', 'Fingered']"
70779,"['E', 'Acropora', 'Staghorn']"
34495,"['E', 'Acropora', 'Staghorn']"
51850,"['E', 'Acrantophis', ""Dumeril's""]"
103372,"['E', 'Acromyrmex', 'Panamanian']"
749675,"['E', 'Acremonium', '']"
356809,"['E', 'Acrossocheilus', '']"
126732,"['E', 'Acropora', 'Staghorn']"
46287,"['E', 'Acrochordus', 'Rasp-skinned']"
244443,"['E', 'Acrosternum', 'Green']"
46687,"['E', 'Acropora', 'Finger']"
39267,"['E', 'Acrochordus', 'Javan']"
223805,"['E', 'Acropoma', 'Glowbelly']"
227548,"['E', 'Acrocinus', 'Giant']"
154029,"['E', 'Acropora', 'Staghorn']"
51851,"['E', 'Acrantophis', 'Madagascar']"
435338,"['E', 'Acrocephalus', 'Marquesan']"
45264,"['E', 'Acropora', 'Staghorn']"
70778,"['E', 'Acropora', 'Staghorn']"
161545,"['E', 'Acrocephalus', 'Large-billed']"
68483,"['E', 'Acrocephalus', 'Oriental']"
68471,"['E', 'Acrocephalus', 'Aquatic']"
76593,"['E', 'Acrossocheilus', 'Taiwan']"
6131,"['E', 'Acropora', 'Elkhorn']"
127871,"['E', 'Acropora', 'Fused']"
2593634,"['E', 'Acritoscincus', 'Red-throated']"
190720,"['E', 'Acrobates', 'Feathertail']"
676058,"['E', 'Acropora', 'Staghorn']"
43695,"['E', 'Acrasis', '']"
48156,"['E', 'Acrocephalus', 'Eurasian']"
932719,"['E', 'Acrosiphonia', 'Green']"
2046025,"['E', 'Acremonium', '']"
68485,"['E', 'Acrocephalus', 'Clamorous']"
713687,"['E', 'Acroclita', 'Coast']"
2546662,"['E', 'Acratocnus', 'Ground']"
207112,"['E', 'Acrossidius', 'Tasmanian']"
70783,"['E', 'Acropora', 'Purple']"
392910,"['E', 'Acreichthys', 'Bristle-tail']"
55976,"['E', 'Acropora', 'Staghorn']"
8992,"['E', 'Acryllium', 'Vulturine']"
227550,"['E', 'Acrida', 'Short-horned']"
2546656,"['E', 'Acratocnus', 'Hispaniolan']"
118783,"['E', 'Actophilornis', 'African']"
64478,"['E', 'Actinidia', 'Tara']"
1078900,"['E', 'Actinia', 'Maroon']"
1120948,"['B', 'Actinomycetospora', '']"
717,"['B', 'Actinobacillus', '']"
1590841,"['E', 'Actinidia', 'Chinese']"
